"Date","Price","Open","High","Low","Vol.","Change %"
"08/20/2024","9,803.33","9,693.69","9,803.33","9,693.69","773.48M","1.13%"
"08/19/2024","9,693.69","9,661.90","9,751.63","9,661.88","758.35M","0.33%"
"08/18/2024","9,661.90","9,600.36","9,724.51","9,600.36","766.73M","0.64%"
"08/15/2024","9,600.36","9,522.65","9,627.68","9,522.65","643.17M","0.82%"
"08/14/2024","9,522.65","9,457.50","9,589.77","9,457.50","674.35M","0.69%"
"08/13/2024","9,457.50","9,523.55","9,584.03","9,446.23","646.74M","-0.69%"
"08/12/2024","9,523.55","9,572.03","9,659.48","9,520.95","837.88M","-0.51%"
"08/11/2024","9,572.03","9,335.50","9,585.59","9,335.50","904.87M","2.53%"
"08/08/2024","9,335.50","9,331.30","9,394.47","9,250.24","751.06M","0.05%"
"08/07/2024","9,331.30","9,139.82","9,335.68","9,139.82","804.17M","2.10%"
"08/06/2024","9,139.82","8,898.65","9,139.82","8,898.65","672.14M","2.71%"
"08/05/2024","8,898.65","9,299.81","9,299.81","8,576.25","763.48M","-4.31%"
"08/04/2024","9,299.81","9,719.28","9,719.28","9,288.76","667.44M","-4.32%"
"08/01/2024","9,719.28","9,762.12","9,864.89","9,716.28","810.39M","-0.44%"
"07/31/2024","9,762.12","9,720.71","9,779.46","9,720.71","832.24M","0.43%"
"07/30/2024","9,720.71","9,590.94","9,720.71","9,590.94","692.95M","1.35%"
"07/29/2024","9,590.94","9,601.70","9,703.08","9,590.61","701.37M","-0.11%"
"07/28/2024","9,601.70","9,590.55","9,652.07","9,590.00","904.83M","0.12%"
"07/24/2024","9,590.55","9,603.31","9,694.19","9,583.48","1.12B","-0.13%"
"07/23/2024","9,603.31","9,527.72","9,635.47","9,523.92","755.58M","0.79%"
"07/22/2024","9,527.72","9,507.08","9,635.24","9,507.08","997.38M","0.22%"
"07/21/2024","9,507.08","9,374.67","9,517.64","9,374.67","1.23B","1.41%"
"07/18/2024","9,374.67","9,270.23","9,391.30","9,270.23","759.88M","1.13%"
"07/17/2024","9,270.23","9,121.02","9,272.33","9,121.02","630.76M","1.64%"
"07/16/2024","9,121.02","9,060.76","9,136.56","9,060.76","467.29M","0.67%"
"07/15/2024","9,060.76","9,045.85","9,119.19","9,045.85","462.36M","0.16%"
"07/14/2024","9,045.85","9,095.52","9,145.71","9,032.79","464.14M","-0.55%"
"07/10/2024","9,095.52","9,149.65","9,209.17","9,092.04","467.28M","-0.59%"
"07/09/2024","9,149.65","9,127.76","9,189.60","9,127.58","487.36M","0.24%"
"07/08/2024","9,127.76","9,140.49","9,251.89","9,123.82","676.51M","-0.14%"
"07/07/2024","9,140.49","9,057.92","9,206.05","9,057.92","721.54M","0.91%"
"07/04/2024","9,057.92","9,064.17","9,148.43","9,051.61","1.05B","-0.07%"
"07/03/2024","9,064.17","9,053.78","9,152.45","9,053.78","1.09B","0.11%"
"07/02/2024","9,053.78","9,071.39","9,140.86","9,051.72","741.37M","-0.19%"
"07/01/2024","9,071.39","8,985.15","9,100.67","8,985.15","563.22M","0.96%"
"06/27/2024","8,985.15","8,958.59","9,035.35","8,958.59","674.34M","0.30%"
"06/26/2024","8,958.59","8,890.23","8,994.75","8,890.23","851.10M","0.77%"
"06/25/2024","8,890.23","8,808.14","8,891.15","8,751.51","535.50M","0.93%"
"06/24/2024","8,808.14","8,810.84","8,896.72","8,802.60","931.52M","-0.03%"
"06/23/2024","8,810.84","8,555.84","8,810.84","8,555.84","776.79M","2.98%"
"06/13/2024","8,555.84","8,455.21","8,556.22","8,455.21","592.84M","1.19%"
"06/12/2024","8,455.21","8,320.95","8,477.82","8,320.95","481.99M","1.61%"
"06/11/2024","8,320.95","8,233.26","8,384.12","8,222.09","435.31M","1.07%"
"06/10/2024","8,233.26","8,156.18","8,233.26","8,141.43","313.19M","0.95%"
"06/09/2024","8,156.18","8,360.33","8,374.36","8,156.18","399.49M","-2.44%"
"06/06/2024","8,360.33","8,422.19","8,455.45","8,360.33","366.40M","-0.73%"
"06/05/2024","8,422.19","8,575.47","8,575.47","8,325.77","621.00M","-1.79%"
"06/04/2024","8,575.47","8,502.02","8,613.07","8,502.02","477.09M","0.86%"
"06/03/2024","8,502.02","8,522.74","8,577.62","8,488.43","708.81M","-0.24%"
"06/02/2024","8,522.74","8,554.56","8,626.65","8,521.44","498.06M","-0.37%"
"05/30/2024","8,554.56","8,624.44","8,641.03","8,509.19","677.79M","-0.81%"
"05/29/2024","8,624.44","8,630.52","8,721.29","8,604.66","558.93M","-0.07%"
"05/28/2024","8,630.52","8,680.28","8,680.28","8,532.40","514.01M","-0.57%"
"05/27/2024","8,680.28","8,735.09","8,798.40","8,652.98","624.05M","-0.63%"
"05/26/2024","8,735.09","8,587.17","8,735.09","8,587.17","603.77M","1.72%"
"05/23/2024","8,587.17","8,536.77","8,628.98","8,536.77","541.47M","0.59%"
"05/22/2024","8,536.77","8,550.11","8,599.44","8,488.08","598.58M","-0.16%"
"05/21/2024","8,550.11","8,558.40","8,638.77","8,549.45","598.98M","-0.10%"
"05/20/2024","8,558.40","8,535.19","8,665.85","8,483.55","647.84M","0.27%"
"05/19/2024","8,535.19","8,160.90","8,535.19","8,160.90","809.31M","4.59%"
"05/16/2024","8,160.90","7,872.94","8,160.90","7,872.94","691.32M","3.66%"
"05/15/2024","7,872.94","7,831.10","7,899.85","7,818.52","714.96M","0.53%"
"05/14/2024","7,831.10","7,878.51","7,920.11","7,813.88","505.84M","-0.60%"
"05/13/2024","7,878.51","7,922.70","7,926.11","7,733.98","542.72M","-0.56%"
"05/12/2024","7,922.70","8,253.69","8,308.75","7,910.29","498.35M","-4.01%"
"05/09/2024","8,253.69","8,252.02","8,289.50","8,214.74","462.72M","0.02%"
"05/08/2024","8,252.02","8,404.95","8,457.11","8,250.28","616.29M","-1.82%"
"05/07/2024","8,404.95","8,321.93","8,412.36","8,241.09","464.73M","1.00%"
"05/02/2024","8,321.93","8,117.48","8,344.10","8,105.85","500.34M","2.52%"
"05/01/2024","8,117.48","7,938.73","8,117.48","7,839.12","431.62M","2.25%"
"04/30/2024","7,938.73","8,376.11","8,400.02","7,924.28","543.83M","-5.22%"
"04/29/2024","8,376.11","8,097.97","8,376.11","8,096.71","529.10M","3.43%"
"04/28/2024","8,097.97","8,510.24","8,516.52","8,097.97","550.47M","-4.84%"
"04/24/2024","8,510.24","8,817.36","8,817.36","8,384.94","748.45M","-3.48%"
"04/23/2024","8,817.36","9,284.17","9,286.06","8,814.58","676.64M","-5.03%"
"04/22/2024","9,284.17","9,407.65","9,480.70","9,261.49","605.55M","-1.31%"
"04/21/2024","9,407.65","9,257.92","9,446.38","9,257.92","749.94M","1.62%"
"04/18/2024","9,257.92","9,745.75","9,853.35","9,130.99","975.45M","-5.01%"
"04/17/2024","9,745.75","9,632.94","9,781.82","9,632.94","920.20M","1.17%"
"04/16/2024","9,632.94","9,584.51","9,684.01","9,584.51","953.63M","0.51%"
"04/15/2024","9,584.51","9,311.42","9,584.51","9,311.42","652.08M","2.93%"
"04/08/2024","9,311.42","9,210.34","9,311.42","9,188.19","444.54M","1.10%"
"04/07/2024","9,210.34","9,229.47","9,358.61","9,210.34","506.44M","-0.21%"
"04/04/2024","9,229.47","9,060.99","9,234.77","9,060.99","534.54M","1.86%"
"04/03/2024","9,060.99","9,096.59","9,096.59","8,989.40","277.00M","-0.39%"
"04/02/2024","9,096.59","9,126.23","9,217.93","9,071.52","483.33M","-0.32%"
"04/01/2024","9,126.23","8,767.55","9,126.23","8,767.55","476.17M","4.09%"
"03/31/2024","8,767.55","9,079.26","9,094.77","8,756.89","380.58M","-3.43%"
"03/28/2024","9,079.26","9,260.84","9,260.84","9,079.26","397.59M","-1.96%"
"03/27/2024","9,260.84","9,540.22","9,547.71","9,248.87","503.93M","-2.93%"
"03/26/2024","9,540.22","9,597.15","9,688.90","9,540.22","457.69M","-0.59%"
"03/25/2024","9,597.15","9,498.48","9,597.30","9,491.36","472.90M","1.04%"
"03/24/2024","9,498.48","9,411.43","9,565.26","9,411.43","620.59M","0.92%"
"03/21/2024","9,411.43","9,126.90","9,411.43","9,126.90","602.38M","3.12%"
"03/20/2024","9,126.90","8,956.83","9,201.14","8,956.83","525.46M","1.90%"
"03/19/2024","8,956.83","9,023.10","9,033.50","8,766.62","476.70M","-0.73%"
"03/18/2024","9,023.10","9,767.30","9,767.96","9,023.10","634.61M","-7.62%"
"03/17/2024","9,767.30","9,873.44","10,045.63","9,767.30","517.71M","-1.08%"
"03/14/2024","9,873.44","9,718.59","9,887.31","9,554.14","406.74M","1.59%"
"03/13/2024","9,718.59","10,096.94","10,129.78","9,638.85","565.17M","-3.75%"
"03/12/2024","10,096.94","10,443.62","10,458.08","10,064.83","517.14M","-3.32%"
"03/11/2024","10,443.62","10,596.67","10,784.86","10,442.07","650.92M","-1.44%"
"03/10/2024","10,596.67","10,281.10","10,627.68","10,281.10","938.73M","3.07%"
"03/07/2024","10,281.10","10,177.68","10,372.27","10,049.97","589.72M","1.02%"
"03/06/2024","10,177.68","10,535.27","10,704.84","10,177.68","1.06B","-3.39%"
"03/05/2024","10,535.27","10,525.55","10,685.72","10,488.98","831.94M","0.09%"
"03/04/2024","10,525.55","10,238.18","10,527.28","10,238.18","738.62M","2.81%"
"03/03/2024","10,238.18","10,239.36","10,373.98","10,200.74","726.18M","-0.01%"
"02/29/2024","10,239.36","10,216.82","10,296.10","10,002.75","714.91M","0.22%"
